pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration
41046, 6.23163, 36, -1,-1,-1,59.3415,29.3945,0.019953,8.68e+08,12,125000,1,0,-12.8322,16314.8,0,-140.382,-137,1.58106
41053, 11.4809, 25, -1,-1,-1,43.8074,8.70766,0.015849,8.68e+08,11,125000,1,0,4.54311,18007.4,0,-136.584,-135,0.790528
41066, 14.3335, 10, -1,-1,-1,37.3244,-6.31516,0.019953,8.68e+08,12,125000,1,0,11.0605,18553.5,1,-133.816,-137,1.58106
41078, 15.0582, 38, -1,-1,-1,54.3922,23.7115,0.025119,8.68e+08,11,125000,1,0,-8.04216,16330.4,0,-138.116,-135,0.790528
41081, 15.7597, 53, -1,-1,-1,36.6597,13.8802,0.025119,8.68e+08,11,125000,1,0,11.8332,14700.5,1,-132.616,-135,0.790528
41088, 16.3782, 48, -1,-1,-1,65.0297,-15.6731,0.025119,8.68e+08,12,125000,1,0,-14.7909,18708.6,0,-139.875,-137,1.58106
41095, 17.8812, 24, -1,-1,-1,44.7038,8.0323,0.019953,8.68e+08,12,125000,1,0,3.99468,18116.3,0,-135.738,-137,1.58106
41102, 18.1265, 8, -1,-1,-1,48.0975,7.3763,0.025119,8.68e+08,12,125000,1,0,0.472154,18397.1,0,-135.732,-137,1.58106
41105, 19.6673, 23, -1,-1,-1,47.6992,13.6798,0.025119,8.68e+08,12,125000,1,0,-0.094591,17232.8,1,-135.893,-137,1.58106
41112, 21.881, 28, -1,-1,-1,56.4697,11.5072,0.025119,8.68e+08,11,125000,1,0,-7.13986,17993.5,0,-137.869,-135,0.790528
41120, 24.1426, 9, -1,-1,-1,44.1928,9.46842,0.019953,8.68e+08,12,125000,1,0,4.72947,17661,1,-135.533,-137,1.58106
41128, 26.3105, 35, -1,-1,-1,44.7741,26.9045,0.025119,8.68e+08,12,125000,1,0,-2.37261,13331.7,1,-136.543,-137,1.58106
41135, 27.4173, 22, -1,-1,-1,46.3106,8.47717,0.019953,8.68e+08,11,125000,1,0,2.80633,17972.7,0,-136.072,-135,0.790528
