run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-189-20260803-18:21:49-61703,config,,,*.terminal[*].dlk.mac.interfaceTableModule,"""""",,
General-189-20260803-18:21:49-61703,config,,,*.terminal[*].dlk.energySourceModule,"""""",,
General-189-20260803-18:21:49-61703,config,,,*.terminal[*].dlk.mac.LoRaTP,"intuniform(12, 14)",,
General-189-20260803-18:21:49-61703,config,,,*.terminal[*].dlk.mac.LoRaSF,"intuniform(10, 12)",,
General-189-20260803-18:21:49-61703,config,,,*.terminal[*].dlk.mac.useMLBoxMLP,true,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[*].dlk.mac.mlBoxMLP.modelPath,"""/home/ylnner/Documents/omnet++/omnetpp-6.3.0/projects/florasat_v4_ult_routing/simulations/Test_Individual/mlmodels/mlp_exported.pt""",,
General-189-20260803-18:21:49-61703,config,,,*.terminal[*].dlk.mac.mlBoxMLP.threshold,0.90,,
General-189-20260803-18:21:49-61703,config,,,**.numberOfPacketsToSend,0,,
General-189-20260803-18:21:49-61703,config,,,**.timeToFirstPacket,1s,,
General-189-20260803-18:21:49-61703,config,,,**.timeToNextPacket,115s,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[0].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[0].mob.centerLatitude,54.978,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[0].mob.centerLongitude,-1.617,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[1].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[1].mob.centerLatitude,52.630,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[1].mob.centerLongitude,-1.139,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[2].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[2].mob.centerLatitude,52.612,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[2].mob.centerLongitude,-6.295,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[3].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[3].mob.centerLatitude,47.243,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[3].mob.centerLongitude,6.024,,
