pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration
31654, 5.42316, 29, -1,-1,-1,53.936,21.8859,0.019953,8.68e+08,12,125000,1,0,1.09392,19774.2,1,-135.993,-137,1.58106
31661, 7.30733, 14, -1,-1,-1,51.585,-6.38312,0.025119,8.68e+08,10,125000,1,0,-5.84121,15946.3,0,-137.076,-133,0.436224
31668, 11.8149, 7, -1,-1,-1,48.5725,16.5475,0.019953,8.68e+08,11,125000,1,0,-4.22512,19509.6,0,-137.593,-135,0.790528
31675, 13.4802, 11, -1,-1,-1,54.6745,40.1189,0.015849,8.68e+08,10,125000,1,0,4.79052,18299.3,0,-135.882,-133,0.436224
31687, 14.1788, 19, -1,-1,-1,38.9832,-1.03004,0.015849,8.68e+08,10,125000,1,0,-13.8033,17487.5,0,-141.308,-133,0.436224
31689, 14.4398, 35, -1,-1,-1,44.6343,23.6283,0.019953,8.68e+08,11,125000,1,0,-6.44122,19598.2,0,-138.246,-135,0.790528
31697, 19.7632, 47, -1,-1,-1,60.5036,6.11778,0.025119,8.68e+08,12,125000,1,0,5.61637,16869,1,-133.64,-137,1.58106
31704, 21.4279, 18, -1,-1,-1,41.9765,2.48894,0.019953,8.68e+08,11,125000,1,0,-10.939,17925.2,0,-139.532,-135,0.790528
31711, 24.1258, 38, -1,-1,-1,44.0665,16.4545,0.025119,8.68e+08,12,125000,1,0,-7.31935,19363.4,0,-137.502,-137,1.58106
31718, 28.7505, 5, -1,-1,-1,51.991,3.55056,0.019953,8.68e+08,10,125000,1,0,-2.64881,17510.1,0,-137.122,-133,0.436224
31736, 32.7339, 43, -1,-1,-1,54.382,24.8532,0.025119,8.68e+08,12,125000,1,0,3.85406,19509.4,1,-134.161,-137,1.58106
31743, 32.8611, 32, -1,-1,-1,50.2498,14.7601,0.019953,8.68e+08,11,125000,1,0,-1.90816,19127.6,0,-136.898,-135,0.790528
31746, 33.5961, 40, -1,-1,-1,61.5843,25.8132,0.015849,8.68e+08,11,125000,1,0,13.9238,18878.3,1,-133.299,-135,0.790528
31748, 33.6791, 30, -1,-1,-1,49.2143,21.9524,0.025119,8.68e+08,12,125000,1,0,-1.73746,19526.8,0,-135.845,-137,1.58106
31755, 40.3016, 27, -1,-1,-1,50.9271,4.44276,0.015849,8.68e+08,10,125000,1,0,-2.80833,17576.2,0,-138.169,-133,0.436224
31767, 42.4151, 4, -1,-1,-1,41.1318,13.9048,0.019953,8.68e+08,11,125000,1,0,-9.00218,19206,0,-138.984,-135,0.790528
31770, 42.8052, 22, -1,-1,-1,51.6729,8.62941,0.019953,8.68e+08,12,125000,1,0,-1.24855,18411.1,1,-136.699,-137,1.58106
31777, 45.5391, 20, -1,-1,-1,38.1626,-10.6864,0.015849,8.68e+08,12,125000,1,0,-14.7451,15526.3,0,-141.555,-137,1.58106
31784, 47.1247, 54, -1,-1,-1,34.0821,-17.7074,0.025119,8.68e+08,11,125000,1,0,-18.4296,14066.3,0,-140.48,-135,0.790528
31797, 50.1372, 8, -1,-1,-1,58.1696,11.1825,0.025119,8.68e+08,12,125000,1,0,6.41679,17851.2,1,-133.402,-137,1.58106
31799, 50.973, 52, -1,-1,-1,38.9057,34.601,0.015849,8.68e+08,12,125000,1,0,-8.39293,18362.7,0,-139.807,-137,1.58106
31936, 52.1629, 57, -1,-1,-1,35.7131,35.2012,0.015849,8.68e+08,10,125000,1,0,-10.6884,18078.2,0,-140.454,-133,0.436224
31939, 53.5761, 34, -1,-1,-1,49.2474,19.3182,0.025119,8.68e+08,12,125000,1,0,-0.947996,19461.4,1,-135.606,-137,1.58106
31941, 53.5906, 37, -1,-1,-1,40.5975,21.4752,0.019953,8.68e+08,12,125000,1,0,-8.00242,19352.8,0,-138.696,-137,1.58106
31953, 57.1494, 1, -1,-1,-1,47.8971,1.11752,0.025119,8.68e+08,10,125000,1,0,-5.1645,17178.5,0,-136.871,-133,0.436224
31956, 58.3578, 59, -1,-1,-1,70.9466,17.753,0.025119,8.68e+08,12,125000,1,0,32.4762,10972,1,-127.236,-137,1.58106
31963, 60.7342, 21, -1,-1,-1,42.0054,-8.52936,0.015849,8.68e+08,10,125000,1,0,-11.2086,15789.2,0,-140.606,-133,0.436224
31971, 62.499, 48, -1,-1,-1,57.8388,10.8135,0.025119,8.68e+08,12,125000,1,0,6.80484,17815.8,1,-133.288,-137,1.58106
31984, 68.0764, 42, -1,-1,-1,56.678,21.1805,0.019953,8.68e+08,11,125000,1,0,8.68191,19189.6,1,-133.743,-135,0.790528
31996, 68.4219, 55, -1,-1,-1,29.3546,-15.6825,0.025119,8.68e+08,10,125000,1,0,-20.3533,14572.5,0,-140.933,-133,0.436224
31998, 68.9244, 16, -1,-1,-1,43.7847,4.72103,0.025119,8.68e+08,11,125000,1,0,-7.18512,18112.3,0,-137.462,-135,0.790528
32001, 69.9694, 13, -1,-1,-1,54.3834,-2.29926,0.025119,8.68e+08,12,125000,1,0,0.092182,15540.7,1,-135.294,-137,1.58106
32009, 72.4463, 31, -1,-1,-1,54.9539,18.7618,0.025119,8.68e+08,12,125000,1,0,6.21082,19139.2,1,-133.46,-137,1.58106
32016, 74.5448, 2, -1,-1,-1,52.8406,11.0613,0.019953,8.68e+08,11,125000,1,0,2.27411,18394.5,0,-135.633,-135,0.790528
32023, 74.9957, 26, -1,-1,-1,46.6328,6.80357,0.019953,8.68e+08,10,125000,1,0,-4.23111,18224.7,0,-137.592,-133,0.436224
32035, 76.8848, 33, -1,-1,-1,48.8733,19.4742,0.019953,8.68e+08,12,125000,1,0,0.104279,19441.1,0,-136.287,-137,1.58106
32038, 76.9784, 41, -1,-1,-1,58.9149,23.318,0.019953,8.68e+08,12,125000,1,0,13.2851,18844.3,1,-132.466,-137,1.58106
32050, 78.4974, 3, -1,-1,-1,40.871,-3.72277,0.019953,8.68e+08,10,125000,1,0,-10.441,16581.6,0,-139.391,-133,0.436224
32057, 79.1116, 25, -1,-1,-1,48.3951,10.3276,0.019953,8.68e+08,10,125000,1,0,-1.81751,18584.4,0,-136.868,-133,0.436224
32060, 79.1636, 6, -1,-1,-1,59.1484,19.0583,0.025119,8.68e+08,11,125000,1,0,12.6064,18385.9,1,-131.649,-135,0.790528
32072, 80.7614, 36, -1,-1,-1,43.6986,22.7513,0.019953,8.68e+08,12,125000,1,0,-3.95631,19413.9,0,-137.507,-137,1.58106
32074, 80.8778, 50, -1,-1,-1,41.8182,14.95,0.025119,8.68e+08,10,125000,1,0,-6.48013,19375.5,0,-137.254,-133,0.436224
32087, 83.0278, 0, -1,-1,-1,51.2418,2.35873,0.025119,8.68e+08,12,125000,1,0,-0.893996,17090.5,1,-135.59,-137,1.58106
32089, 83.0583, 15, -1,-1,-1,45.2536,6.76134,0.019953,8.68e+08,11,125000,1,0,-4.99075,18414.5,0,-137.817,-135,0.790528
32096, 84.0863, 53, -1,-1,-1,64.8687,-25.0693,0.015849,8.68e+08,10,125000,1,0,2.98515,4956.27,0,-136.424,-133,0.436224
32103, 89.9903, 17, -1,-1,-1,50.6298,3.66378,0.015849,8.68e+08,12,125000,1,0,-0.765619,17311.1,0,-137.551,-137,1.58106
32110, 96.1998, 45, -1,-1,-1,48.5944,25.8584,0.015849,8.68e+08,10,125000,1,0,2.05592,19425.9,0,-136.695,-133,0.436224
32122, 97.5808, 14, -1,-1,-1,51.585,-6.38312,0.025119,8.68e+08,10,125000,1,0,-2.09796,14581.6,0,-135.954,-133,0.436224
32125, 98.0164, 23, -1,-1,-1,53.6773,12.0163,0.025119,8.68e+08,12,125000,1,0,4.87563,18274.8,1,-133.853,-137,1.58106
32132, 100.627, 9, -1,-1,-1,38.77,23.7861,0.015849,8.68e+08,12,125000,1,0,-6.93344,19249.6,0,-139.383,-137,1.58106
32264, 104.749, 49, -1,-1,-1,46.8635,9.14332,0.015849,8.68e+08,11,125000,1,0,-2.05282,18623,0,-137.937,-135,0.790528
32266, 104.893, 10, -1,-1,-1,30.1845,32.2214,0.015849,8.68e+08,11,125000,1,0,-12.6422,18214.8,0,-140.985,-135,0.790528
32273, 106.075, 46, -1,-1,-1,54.2504,24.8462,0.015849,8.68e+08,10,125000,1,0,9.50196,19351.1,0,-134.506,-133,0.436224
32281, 108.9, 39, -1,-1,-1,44.5205,19.7208,0.019953,8.68e+08,12,125000,1,0,-2.08105,19570.4,1,-136.943,-137,1.58106
32294, 109.71, 58, -1,-1,-1,62.9645,-6.23706,0.015849,8.68e+08,11,125000,1,0,9.09781,10032.3,1,-134.625,-135,0.790528
32301, 110.846, 24, -1,-1,-1,48.8555,11.284,0.025119,8.68e+08,10,125000,1,0,0.607356,18701.3,0,-135.133,-133,0.436224
32309, 110.861, 29, -1,-1,-1,53.936,21.8859,0.019953,8.68e+08,12,125000,1,0,8.72533,19287.1,1,-133.727,-137,1.58106
32321, 111.651, 35, -1,-1,-1,44.6343,23.6283,0.019953,8.68e+08,11,125000,1,0,-1.25025,19523.5,0,-136.692,-135,0.790528
32328, 112.718, 44, -1,-1,-1,50.7054,32.1157,0.019953,8.68e+08,12,125000,1,0,6.24814,18778.9,0,-134.444,-137,1.58106
32335, 112.835, 28, -1,-1,-1,55.6879,14.4416,0.015849,8.68e+08,12,125000,1,0,9.12076,18253.2,0,-134.615,-137,1.58106
32337, 113.194, 12, -1,-1,-1,53.0558,-5.11698,0.019953,8.68e+08,10,125000,1,0,0.189574,14387.1,0,-136.263,-133,0.436224
32339, 113.85, 51, -1,-1,-1,42.0942,27.9054,0.019953,8.68e+08,12,125000,1,0,-3.07649,19187.6,0,-137.24,-137,1.58106
32351, 115.234, 19, -1,-1,-1,38.9832,-1.03004,0.015849,8.68e+08,10,125000,1,0,-9.79728,17153.9,0,-140.207,-133,0.436224
32354, 116.066, 47, -1,-1,-1,60.5036,6.11778,0.025119,8.68e+08,12,125000,1,0,12.3982,14645.6,1,-131.704,-137,1.58106
32361, 117.703, 7, -1,-1,-1,48.5725,16.5475,0.019953,8.68e+08,11,125000,1,0,1.85752,19227.5,0,-135.754,-135,0.790528
32373, 121.333, 11, -1,-1,-1,54.6745,40.1189,0.015849,8.68e+08,10,125000,1,0,13.1137,16503.6,0,-133.507,-133,0.436224
32375, 122.313, 56, -1,-1,-1,36.9749,12.8401,0.025119,8.68e+08,12,125000,1,0,-8.61724,19236.9,0,-137.868,-137,1.58106
32383, 125.129, 43, -1,-1,-1,54.382,24.8532,0.025119,8.68e+08,12,125000,1,0,11.3366,19263.4,1,-131.991,-137,1.58106
32395, 127.836, 5, -1,-1,-1,51.991,3.55056,0.019953,8.68e+08,10,125000,1,0,2.59423,16702.8,0,-135.534,-133,0.436224
32398, 128.651, 38, -1,-1,-1,44.0665,16.4545,0.025119,8.68e+08,12,125000,1,0,-1.89078,19452.8,1,-135.884,-137,1.58106
32410, 130.051, 18, -1,-1,-1,41.9765,2.48894,0.019953,8.68e+08,11,125000,1,0,-6.23682,17691.9,0,-138.181,-135,0.790528
32412, 130.156, 32, -1,-1,-1,50.2498,14.7601,0.019953,8.68e+08,11,125000,1,0,4.05882,18984.5,0,-135.093,-135,0.790528
32425, 132.378, 40, -1,-1,-1,61.5843,25.8132,0.015849,8.68e+08,11,125000,1,0,27.8032,17151.4,1,-130.093,-135,0.790528
32428, 133.033, 30, -1,-1,-1,49.2143,21.9524,0.025119,8.68e+08,12,125000,1,0,4.58246,19490.8,1,-133.936,-137,1.58106
32445, 139.687, 27, -1,-1,-1,50.9271,4.44276,0.015849,8.68e+08,10,125000,1,0,2.50212,16852.5,0,-136.561,-133,0.436224
32448, 140.076, 22, -1,-1,-1,51.6729,8.62941,0.019953,8.68e+08,12,125000,1,0,4.51216,17635.3,1,-134.958,-137,1.58106
32450, 140.191, 4, -1,-1,-1,41.1318,13.9048,0.019953,8.68e+08,11,125000,1,0,-4.22019,19170.1,0,-137.581,-135,0.790528
32457, 141.873, 52, -1,-1,-1,38.9057,34.601,0.015849,8.68e+08,12,125000,1,0,-4.13366,18176.5,0,-138.553,-137,1.58106
