run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-465-20260718-16:17:29-5193,runattr,,,configname,General,,
General-465-20260718-16:17:29-5193,runattr,,,datetime,20260718-16:17:29,,
General-465-20260718-16:17:29-5193,runattr,,,datetimef,20260718-161729,,
General-465-20260718-16:17:29-5193,runattr,,,experiment,General,,
General-465-20260718-16:17:29-5193,runattr,,,inifile,Test_MLModel_1.ini,,
General-465-20260718-16:17:29-5193,runattr,,,iterationvars,"$myraan=205, $threshold=0.70, $0=88143",,
General-465-20260718-16:17:29-5193,runattr,,,iterationvarsd,myraan=205/threshold=0.70/88143,,
General-465-20260718-16:17:29-5193,runattr,,,iterationvarsf,"myraan=205,threshold=0.70,88143-",,
General-465-20260718-16:17:29-5193,runattr,,,measurement,"$myraan=205, $threshold=0.70, $0=88143",,
General-465-20260718-16:17:29-5193,runattr,,,network,Florasat.Test_Individual.Florasat_Individual_Sats,,
General-465-20260718-16:17:29-5193,runattr,,,processid,5193,,
General-465-20260718-16:17:29-5193,runattr,,,repetition,5,,
General-465-20260718-16:17:29-5193,runattr,,,replication,#5,,
General-465-20260718-16:17:29-5193,runattr,,,resultdir,results,,
General-465-20260718-16:17:29-5193,runattr,,,runnumber,465,,
General-465-20260718-16:17:29-5193,runattr,,,seedset,465,,
General-465-20260718-16:17:29-5193,itervar,,,myraan,205,,
General-465-20260718-16:17:29-5193,itervar,,,threshold,0.70,,
General-465-20260718-16:17:29-5193,config,,,*.stats_altitude,670,,
General-465-20260718-16:17:29-5193,config,,,*.stats_raan,185,,
General-465-20260718-16:17:29-5193,config,,,image-path,../../images:../../../../samples/inet4.5_2/images,,
General-465-20260718-16:17:29-5193,config,,,network,Florasat.Test_Individual.Florasat_Individual_Sats,,
General-465-20260718-16:17:29-5193,config,,,rng-class,cMersenneTwister,,
General-465-20260718-16:17:29-5193,config,,,*.**.result-recording-modes,-,,
General-465-20260718-16:17:29-5193,config,,,**.result-recording-modes,-,,
General-465-20260718-16:17:29-5193,config,,,**.statistic-recording,true,,
General-465-20260718-16:17:29-5193,config,,,**.scalar-recording,true,,
General-465-20260718-16:17:29-5193,config,,,**.vector-recording,true,,
General-465-20260718-16:17:29-5193,config,,,**.vector-record-eventnumbers,true,,
General-465-20260718-16:17:29-5193,config,,,repeat,10,,
General-465-20260718-16:17:29-5193,config,,,seed-0-mt,88143,,
General-465-20260718-16:17:29-5193,config,,,sim-time-limit,749s,,
General-465-20260718-16:17:29-5193,config,,,simtime-resolution,-11,,
General-465-20260718-16:17:29-5193,config,,,**.stats_altitude,670,,
General-465-20260718-16:17:29-5193,config,,,**.stats_raan,185,,
General-465-20260718-16:17:29-5193,config,,,*.radioMedium.backgroundNoise.power,-110dBm,,
General-465-20260718-16:17:29-5193,config,,,*.radioMedium.mediumLimitCache.centerFrequency,868MHz,,
General-465-20260718-16:17:29-5193,config,,,*.radioMedium.mediumLimitCache.maxTransmissionDuration,4s,,
General-465-20260718-16:17:29-5193,config,,,*.radioMedium.mediumLimitCache.minInterferenceTime,0s,,
General-465-20260718-16:17:29-5193,config,,,**.numSatellites,1,,
General-465-20260718-16:17:29-5193,config,,,*.satellite[*].mobilityType,"""Sat_Mob_SatelliteMobility_Standalone""",,
General-465-20260718-16:17:29-5193,config,,,*.satellite[*].noradModuleType,"""Sat_Mob_NoradA""",,
General-465-20260718-16:17:29-5193,config,,,**.satellite[*].**.initFromDisplayString,false,,
General-465-20260718-16:17:29-5193,config,,,*.satellite[*].mobility.faceForward,true,,
