run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-280-20260805-18:36:48-87901,config,,,*.terminal[*].dlk.mac.interfaceTableModule,"""""",,
General-280-20260805-18:36:48-87901,config,,,*.terminal[*].dlk.energySourceModule,"""""",,
General-280-20260805-18:36:48-87901,config,,,*.terminal[*].dlk.mac.LoRaTP,"intuniform(12, 14)",,
General-280-20260805-18:36:48-87901,config,,,*.terminal[*].dlk.mac.LoRaSF,"intuniform(10, 12)",,
General-280-20260805-18:36:48-87901,config,,,*.terminal[*].dlk.mac.useMLBox,true,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[*].dlk.mac.mlBox.modelPath,"""/home/ylnner/Documents/omnet++/omnetpp-6.3.0/projects/florasat_v4_ult_routing/simulations/Test_Individual/mlmodels/transformer_scripted.pt""",,
General-280-20260805-18:36:48-87901,config,,,*.terminal[*].dlk.mac.mlBox.threshold,0.90,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[*].dlk.mac.mlBox.coldStart,true,,
General-280-20260805-18:36:48-87901,config,,,**.numberOfPacketsToSend,0,,
General-280-20260805-18:36:48-87901,config,,,**.timeToFirstPacket,1s,,
General-280-20260805-18:36:48-87901,config,,,**.timeToNextPacket,115s,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[0].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[0].mob.centerLatitude,54.978,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[0].mob.centerLongitude,-1.617,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[1].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[1].mob.centerLatitude,52.630,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[1].mob.centerLongitude,-1.139,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[2].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[2].mob.centerLatitude,52.612,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[2].mob.centerLongitude,-6.295,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[3].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[3].mob.centerLatitude,47.243,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[3].mob.centerLongitude,6.024,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[4].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[4].mob.centerLatitude,43.610,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[4].mob.centerLongitude,3.876,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[5].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[5].mob.centerLatitude,49.443,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[5].mob.centerLongitude,1.099,,
