pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration
161206, 2.03279, 25, -1,-1,-1,46.7789,8.28843,0.015849,8.68e+08,11,125000,1,0,3.64857,19814.2,0,-135.939,-135,0.790528
161223, 2.12222, 38, -1,-1,-1,45.3001,15.8952,0.025119,8.68e+08,11,125000,1,0,2.51789,18655.2,0,-134.287,-135,0.790528
161230, 2.13976, 53, -1,-1,-1,64.7134,-23.4263,0.025119,8.68e+08,11,125000,1,0,12.1739,6599.82,0,-131.427,-135,0.790528
161252, 2.25715, 1, -1,-1,-1,49.3772,1.54038,0.025119,8.68e+08,10,125000,1,0,5.57397,19823.6,0,-133.352,-133,0.436224
161254, 2.29279, 28, -1,-1,-1,56.0984,11.391,0.025119,8.68e+08,11,125000,1,0,18.429,18841,0,-129.773,-135,0.790528
161271, 2.4312, 22, -1,-1,-1,50.1724,11.2032,0.019953,8.68e+08,11,125000,1,0,8.25315,19424.8,0,-133.548,-135,0.790528
161288, 2.52319, 42, -1,-1,-1,57.8004,23.0841,0.019953,8.68e+08,10,125000,1,0,22.6258,14398.1,0,-129.78,-133,0.436224
161300, 2.61004, 52, -1,-1,-1,38.8743,33.4102,0.025119,8.68e+08,11,125000,1,0,-4.79549,13313.7,0,-136.548,-135,0.790528
161302, 2.61151, 43, -1,-1,-1,55.5373,25.9108,0.019953,8.68e+08,10,125000,1,0,16.7788,13801.8,0,-131.189,-133,0.436224
161309, 2.62181, 33, -1,-1,-1,49.0691,16.5595,0.015849,8.68e+08,10,125000,1,0,7.12276,18396.5,0,-134.884,-133,0.436224
161321, 2.66113, 47, -1,-1,-1,60.1499,6.23873,0.025119,8.68e+08,11,125000,1,0,26.5998,17756.9,0,-127.926,-135,0.790528
161323, 2.67232, 36, -1,-1,-1,43.812,25.0559,0.019953,8.68e+08,12,125000,1,0,0.619877,16064.3,0,-135.876,-137,1.58106
161335, 2.78166, 51, -1,-1,-1,40.4208,27.6114,0.015849,8.68e+08,10,125000,1,0,-2.78631,15324,0,-137.931,-133,0.436224
