seed,model,accuracy_test,precision_test,recall_test,f1_score_test,auc_roc_test,accuracy_val,precision_val,recall_val,f1_score_val,auc_roc_val
0,Logistic Regression,0.780678851174935,0.763302752293578,0.771799628942486,0.767527675276753,0.86384926548861,0.82680591818973,0.817961165048544,0.731019522776573,0.77205040091638,0.913020859607526
0,Random Forest,0.818102697998259,0.785467128027682,0.842300556586271,0.812891674127126,0.898611575777852,0.862489120974761,0.812371134020619,0.854663774403471,0.832980972515856,0.936207309690763
0,MLP,0.808529155787641,0.799249530956848,0.790352504638219,0.794776119402985,0.897928769123149,0.859007832898172,0.842105263157895,0.79826464208243,0.819599109131403,0.94225773091863
1,Logistic Regression,0.854166666666667,0.846303501945525,0.830152671755725,0.838150289017341,0.937791729469539,0.896701388888889,0.882494004796163,0.840182648401826,0.860818713450292,0.970722535589578
1,Random Forest,0.872395833333333,0.838420107719928,0.891221374045802,0.864014801110083,0.944803872708708,0.9140625,0.864516129032258,0.917808219178082,0.890365448504983,0.968471406827571
1,MLP,0.866319444444444,0.845149253731343,0.864503816793893,0.854716981132076,0.933835148538922,0.90625,0.889150943396227,0.860730593607306,0.874709976798144,0.957449189721551
2,Logistic Regression,0.828719723183391,0.825925925925926,0.810909090909091,0.818348623853211,0.903762376237624,0.858254105445117,0.862790697674419,0.779411764705882,0.818984547461369,0.94172558891398
2,Random Forest,0.843425605536332,0.810084033613445,0.876363636363636,0.841921397379913,0.916675667566757,0.874675885911841,0.831663326653307,0.871848739495798,0.851282051282051,0.943613568775528
2,MLP,0.83477508650519,0.795716639209226,0.878181818181818,0.834917891097666,0.912586258625863,0.890233362143475,0.842829076620825,0.901260504201681,0.871065989847716,0.947145818679895
3,Logistic Regression,0.847282139775669,0.85,0.85427135678392,0.852130325814536,0.917076485631002,0.893103448275862,0.89171974522293,0.851926977687627,0.871369294605809,0.962616055055636
3,Random Forest,0.872303710094909,0.850234009360374,0.912897822445561,0.880452342487884,0.925733352408543,0.914655172413793,0.858181818181818,0.957403651115619,0.905081495685523,0.958981969461517
3,MLP,0.870578084555651,0.854199683042789,0.90284757118928,0.87785016286645,0.920015260167981,0.912931034482759,0.875478927203065,0.926977687626775,0.900492610837439,0.957592197815899
4,Logistic Regression,0.786332179930796,0.796812749003984,0.73394495412844,0.764087870105062,0.88126248141864,0.830596369922213,0.852040816326531,0.707627118644068,0.773148148148148,0.918121365829519
4,Random Forest,0.825259515570934,0.809009009009009,0.823853211009174,0.816363636363636,0.917809576720371,0.859982713915298,0.81,0.858050847457627,0.833333333333333,0.939603179512557
4,MLP,0.831314878892734,0.8125,0.834862385321101,0.823529411764706,0.909503145692878,0.855661192739844,0.845804988662132,0.790254237288136,0.817086527929901,0.944667821353458
5,Logistic Regression,0.833913043478261,0.823223570190641,0.842198581560284,0.832602979842244,0.906046522886259,0.887923544743701,0.87396694214876,0.861507128309572,0.867692307692308,0.950117262235389
5,Random Forest,0.861739130434783,0.816901408450704,0.925531914893617,0.86783042394015,0.920660566891777,0.903562119895743,0.850553505535055,0.938900203665988,0.892545982575024,0.952484107881257
5,MLP,0.830434782608696,0.809045226130653,0.856382978723404,0.832041343669251,0.902222060852516,0.889661164205039,0.869918699186992,0.871690427698574,0.870803662258393,0.951888539159415
6,Logistic Regression,0.855902777777778,0.836589698046181,0.864220183486239,0.850180505415162,0.923504073273582,0.885416666666667,0.898678414096916,0.825910931174089,0.860759493670886,0.957329904138415
6,Random Forest,0.864583333333333,0.824707846410685,0.906422018348624,0.863636363636364,0.932292973414144,0.888888888888889,0.849236641221374,0.90080971659919,0.87426326129666,0.956594637165746
6,MLP,0.830729166666667,0.800687285223368,0.855045871559633,0.826974267968057,0.907981802518024,0.881944444444444,0.872916666666667,0.848178137651822,0.860369609856263,0.948786655673554
7,Logistic Regression,0.796376186367558,0.78096947935368,0.792349726775956,0.786618444846293,0.884574039236764,0.845689655172414,0.830188679245283,0.766884531590414,0.797281993204983,0.927321380287731
7,Random Forest,0.826574633304573,0.775316455696203,0.892531876138434,0.829805249788315,0.896282361372391,0.874137931034483,0.798095238095238,0.912854030501089,0.851626016260163,0.94323391109495
7,MLP,0.819672131147541,0.775080906148867,0.872495446265938,0.820908311910883,0.881157992176536,0.882758620689655,0.828920570264766,0.886710239651416,0.856842105263158,0.939849390382243
8,Logistic Regression,0.84106529209622,0.82089552238806,0.831758034026465,0.826291079812207,0.916088891535061,0.88659793814433,0.896551724137931,0.817610062893082,0.855263157894737,0.963774683474774
8,Random Forest,0.861683848797251,0.819444444444444,0.892249527410208,0.854298642533937,0.93025765446616,0.902920962199313,0.859683794466403,0.911949685534591,0.885045778229909,0.959949526852386
8,MLP,0.859106529209622,0.807757166947724,0.905482041587902,0.853832442067736,0.919670154652219,0.913230240549828,0.877510040160643,0.916142557651992,0.896410256410256,0.961513462049015
9,Logistic Regression,0.814814814814815,0.807835820895522,0.794495412844037,0.801110083256244,0.90117657571786,0.857019810508183,0.861431870669746,0.778705636743215,0.817982456140351,0.938933751278017
9,Random Forest,0.840654608096469,0.798013245033113,0.884403669724771,0.838990426457789,0.918153520791135,0.883720930232558,0.830769230769231,0.90187891440501,0.864864864864865,0.944143774603738
9,MLP,0.832041343669251,0.787828947368421,0.878899082568807,0.830875975715525,0.905364589538902,0.882859603789836,0.840954274353877,0.883089770354906,0.861507128309572,0.947165098353731
,,,,,,,,,,,
,,,,,,,,,,,
,,accuracy_test,precision_test,recall_test,f1_score_test,auc_roc_test,accuracy_val,precision_val,recall_val,f1_score_val,auc_roc_val
,Logistic Regression,0.823925167526609,0.81518590200431,0.812609964121264,0.813704787723905,0.903513244089494,0.86681088459571,0.866782405936722,0.796078632292635,0.829535051318526,0.944368338641056
,Random Forest,0.848672291650018,0.812759768776559,0.88477756069661,0.84702049578252,0.920128112211784,0.887909622546668,0.83650708179753,0.902616778235647,0.868138920454837,0.950328339186601
