seed,model,accuracy_test,precision_test,recall_test,f1_score_test,auc_roc_test,accuracy_val,precision_val,recall_val,f1_score_val,auc_roc_val
0,Logistic Regression,0.804177545691906,0.83442265795207,0.719924812030075,0.772956609485368,0.897691960858386,0.845953002610966,0.822222222222222,0.681578947368421,0.745323741007194,0.942851276435562
0,Random Forest,0.888598781549173,0.860714285714286,0.906015037593985,0.882783882783883,0.95869383751112,0.926892950391645,0.8681592039801,0.918421052631579,0.892583120204604,0.979349462733557
0,MLP,0.87467362924282,0.877431906614786,0.847744360902256,0.862332695984704,0.957205615334934,0.908616187989556,0.889518413597734,0.826315789473684,0.856753069577081,0.980316200123195
1,Logistic Regression,0.858506944444444,0.85036496350365,0.851919561243144,0.851141552511416,0.928511641258857,0.916666666666667,0.924050632911392,0.846867749419954,0.883777239709443,0.978062822002182
1,Random Forest,0.912326388888889,0.881849315068493,0.941499085923218,0.910698496905394,0.96683487693958,0.957465277777778,0.926339285714286,0.962877030162413,0.944254835039818,0.989383783157576
1,MLP,0.915798611111111,0.897526501766785,0.928702010968921,0.912848158131177,0.969033193829604,0.955729166666667,0.9337899543379,0.948955916473318,0.941311852704258,0.989145650376025
2,Logistic Regression,0.837370242214533,0.844311377245509,0.793621013133208,0.818181818181818,0.920258146895582,0.872082973206569,0.866983372921615,0.798687089715536,0.831435079726651,0.946427008440138
2,Random Forest,0.895328719723183,0.882899628252788,0.891181988742964,0.887021475256769,0.968683276164778,0.944684528954192,0.917197452229299,0.945295404814004,0.931034482758621,0.982503907471085
2,MLP,0.899653979238754,0.903288201160542,0.876172607879925,0.88952380952381,0.968008697249585,0.936905790838375,0.9,0.945295404814004,0.922091782283885,0.983185370428259
3,Logistic Regression,0.87144089732528,0.893728222996516,0.853577371048253,0.873191489361702,0.941754781457428,0.911206896551724,0.924485125858124,0.852320675105485,0.886937431394072,0.972847547699007
3,Random Forest,0.916307161345988,0.890092879256966,0.956738768718802,0.922213311948677,0.970442035078931,0.943965517241379,0.906560636182903,0.962025316455696,0.933469805527124,0.985312027161678
3,MLP,0.910267471958585,0.898876404494382,0.931780366056572,0.915032679738562,0.96981434765236,0.953448275862069,0.923387096774194,0.966244725738397,0.944329896907217,0.986812808305963
4,Logistic Regression,0.783737024221453,0.793814432989691,0.719626168224299,0.754901960784314,0.875985371800081,0.82713915298185,0.782608695652174,0.782608695652174,0.782608695652174,0.902844488802944
4,Random Forest,0.882352941176471,0.868761552680222,0.878504672897196,0.87360594795539,0.9574262193929,0.912705272255834,0.858283433133733,0.934782608695652,0.894901144640999,0.975843677874119
4,MLP,0.85121107266436,0.860834990059642,0.809345794392523,0.834296724470135,0.945439222237272,0.917891097666379,0.877846790890269,0.921739130434783,0.899257688229056,0.973810117896576
5,Logistic Regression,0.834782608695652,0.855263157894737,0.801056338028169,0.827272727272727,0.926083563235081,0.88879235447437,0.899509803921569,0.808370044052863,0.851508120649652,0.964485934053432
5,Random Forest,0.890434782608696,0.875850340136055,0.90669014084507,0.891003460207613,0.962034448961812,0.937445699391833,0.90295358649789,0.94273127753304,0.922413793103448,0.981939590061876
5,MLP,0.88695652173913,0.875,0.899647887323944,0.887152777777778,0.960980228449736,0.928757602085143,0.904347826086957,0.916299559471366,0.910284463894967,0.978548720444447
6,Logistic Regression,0.860243055555556,0.876494023904383,0.816326530612245,0.845341018251681,0.944011476754427,0.884548611111111,0.877394636015326,0.869070208728653,0.873212583412774,0.952625426944972
6,Random Forest,0.924479166666667,0.903571428571429,0.938775510204082,0.920837124658781,0.973929123777644,0.921006944444444,0.885159010600707,0.950664136622391,0.916742909423605,0.976036432637571
6,MLP,0.927083333333333,0.925233644859813,0.918367346938776,0.921787709497207,0.980082141116865,0.923611111111111,0.89126559714795,0.94876660341556,0.919117647058824,0.975875521821632
7,Logistic Regression,0.817946505608283,0.842629482071713,0.762162162162162,0.800378429517502,0.913274864268242,0.85,0.848066298342541,0.720657276995305,0.779187817258883,0.936965114940323
7,Random Forest,0.873166522864538,0.849315068493151,0.893693693693694,0.870939420544337,0.951543762305352,0.887931034482759,0.821739130434783,0.887323943661972,0.853273137697517,0.964181090174106
7,MLP,0.873166522864538,0.873626373626374,0.85945945945946,0.866485013623978,0.951897261499911,0.887068965517241,0.857142857142857,0.830985915492958,0.843861740166865,0.959754896317049
8,Logistic Regression,0.84020618556701,0.839863713798978,0.842735042735043,0.841296928327645,0.918725181937617,0.882302405498282,0.867494824016563,0.851626016260163,0.85948717948718,0.954271317266744
8,Random Forest,0.88573883161512,0.856466876971609,0.928205128205128,0.890894175553733,0.954529619296459,0.918384879725086,0.868274582560297,0.951219512195122,0.907856450048497,0.972633565621371
8,MLP,0.888316151202749,0.857142857142857,0.933333333333333,0.893617021276596,0.952154466144104,0.925257731958763,0.879924953095685,0.953252032520325,0.915121951219512,0.971441879597367
