seq_length,d_model,n_heads,n_layers,dropout,lr,batch_size,mean_val_loss,std_val_loss,val_loss_seed_0,val_loss_seed_1,val_loss_seed_2,val_loss_seed_3,val_loss_seed_4,val_loss_seed_5,val_loss_seed_6,val_loss_seed_7,val_loss_seed_8,val_loss_seed_9
8,32,2,1,0.1,0.001,32,0.5883028100506124,0.03303219390506876,0.5979210540042286,0.5582733644597363,0.5633935421095257,0.6488908030964129,0.540242209561082,0.5581853812375264,0.589864434824701,0.6261790342716097,0.6186964816822295,0.5813817952590727
8,32,2,1,0.1,0.0005,32,0.584567865732273,0.02730431391622513,0.602036569245726,0.5538770963574013,0.5623719700639359,0.647586404437428,0.5754093904266058,0.5461783835588143,0.5839228970788376,0.5937724415321797,0.5945379510674386,0.5859855535543628
8,32,2,1,0.2,0.001,32,0.5723804288431567,0.027022071598500695,0.6090510505158999,0.5485069473889488,0.5470080484946569,0.6159686731991538,0.5422160154894778,0.53596477647971,0.5926900506629581,0.5698918667496645,0.5852174967309536,0.577289362720143
8,32,2,1,0.2,0.0005,32,0.567951803632756,0.024030802053820664,0.5660291358392838,0.550823948839516,0.5430420947528025,0.6202848791749331,0.5353190037144119,0.5467297962795922,0.5781149800779701,0.5726428426671446,0.5853741515449613,0.5811572034369435
8,32,2,1,0.3,0.001,32,0.5722036709339081,0.017524995985716937,0.57877425140979,0.5479566025977943,0.5686499485756918,0.6057736957816091,0.5501711454896028,0.5621308868565754,0.5733635138524206,0.5591190845122811,0.5836325653463776,0.5924650149169373
8,32,2,1,0.3,0.0005,32,0.5687861621654347,0.02464597667919076,0.5639694404793761,0.5508962224558954,0.5503123307524369,0.6097774567224129,0.5295165823761657,0.5423861126976404,0.5829940917024835,0.5756470618540781,0.6016298585816433,0.580732464032215
8,32,2,1,0.4,0.001,32,0.5729627559915709,0.0232792494889357,0.5913116373949581,0.5545060370313494,0.5625348499121025,0.6222673282179741,0.5342474311895189,0.5605770491542872,0.5790799543000105,0.5580578186445766,0.5893251066667992,0.5777203474041314
8,32,2,1,0.4,0.0005,32,0.5723586252629103,0.026370827335048308,0.5868906772276115,0.5526875830707494,0.5466576324220289,0.6300926205664001,0.5366267957588473,0.5499887943267823,0.5738600687281779,0.5691161298176699,0.5926781121837466,0.5849878385270897
8,32,2,2,0.1,0.001,32,0.6001686543167422,0.02919313871771817,0.6043859748638164,0.5812458646075245,0.5775884102833898,0.6601625309222274,0.5667220285717856,0.5588193486134211,0.5950011124213537,0.6197645019979505,0.6256745717853134,0.6123221991006393
8,32,2,2,0.1,0.0005,32,0.593923325881863,0.030860780173505686,0.621366637265473,0.5596488082160552,0.5768602862169868,0.6288248529363619,0.5395287893353062,0.5811049491341351,0.5794798705661506,0.5951009835503255,0.6417073982762315,0.6156106833216043
8,32,2,2,0.2,0.001,32,0.5855158878530632,0.026339590143965096,0.6021447258908846,0.5639680159719367,0.5592768003543218,0.632190916780927,0.5568975806203589,0.5485271670316395,0.5811736010494288,0.5941322789946843,0.6082847568593178,0.6085630349771322
8,32,2,2,0.2,0.0005,32,0.5848940320994858,0.028010461411411038,0.5890282799625954,0.5498082403158933,0.5730158536841995,0.6379049544489523,0.5694758162795626,0.5492928930716208,0.5733560606924414,0.5777068157467926,0.624232545207467,0.6051188615853327
8,32,2,2,0.3,0.001,32,0.5893861103648244,0.02836859680270879,0.6038628884923388,0.5799273372132179,0.5482600464981202,0.6552134238945985,0.5607877179413859,0.5666305624776417,0.5982770908776431,0.6059904372570111,0.5838329138811569,0.5910786851151296
8,32,2,2,0.3,0.0005,32,0.5820343483385374,0.01914355901863573,0.5741851070732401,0.5635593730215614,0.5776842720763028,0.6256920732383491,0.5555063609534886,0.564889822072453,0.5809904203123865,0.5913744858918134,0.5929259072575305,0.5935356614882485
8,32,2,2,0.4,0.001,32,0.5889288007607411,0.028326950975797467,0.5867406013416268,0.5736159023137121,0.5830604609864497,0.6459050674361793,0.5481853434565471,0.5478221804165003,0.6013481214468243,0.584975117776129,0.6186505156215172,0.5989846968119256
8,32,2,2,0.4,0.0005,32,0.5751309949126944,0.026227949475760827,0.5832289005406419,0.5584460286979089,0.5724846511730673,0.6232762876919835,0.522007225242536,0.5481403284776978,0.5739769431190532,0.5894167527904984,0.5911521548416182,0.5891806765519387
8,32,2,3,0.1,0.001,32,0.6169275347132519,0.0412243722622199,0.6286328785775,0.5533740612542072,0.5950116966638649,0.662524355926186,0.5638479511923434,0.5884928692502585,0.5995472586838997,0.6805343631546051,0.6369947246117899,0.6603151878178642
8,32,2,3,0.1,0.0005,32,0.6156650545082072,0.03131427497847364,0.621781219097606,0.5693085104227066,0.6163441275992588,0.6799448228283235,0.5810620202045692,0.5809483855352764,0.606392532560909,0.6321391711000637,0.6380925926004063,0.6306371631329519
8,32,2,3,0.2,0.001,32,0.5993225514032601,0.038113825042243116,0.579774571014078,0.5668742639279505,0.5782436985653221,0.6389250704811679,0.5534029993724231,0.5487774878391746,0.5940165317720837,0.6401802229776717,0.6579982516884106,0.6350324163943181
8,32,2,3,0.2,0.0005,32,0.5990963378305716,0.033535635641965385,0.6264388105325531,0.5832913808742461,0.5660688539868907,0.6665016661664983,0.5618867634267312,0.556646361703064,0.5981127798644422,0.5964658267403904,0.636781104536433,0.5987698304744666
8,32,2,3,0.3,0.001,32,0.5980291964545061,0.028789290801795132,0.6153042095272164,0.5675918087232531,0.6313408737468441,0.631108334320679,0.548601669282244,0.5568228942608973,0.5923819152888847,0.6157869463514166,0.6157406990291082,0.6056126140145182
8,32,2,3,0.3,0.0005,32,0.5863486586286746,0.022511279663990493,0.610451585350678,0.5711337619662633,0.5933284998724335,0.6346993730474285,0.5568337868703039,0.5684752580628061,0.5897391548630787,0.5626106845269426,0.5950665867620567,0.5811478949647549
8,32,2,3,0.4,0.001,32,0.6208267535691896,0.03692434017444692,0.6881243139505386,0.5760677800410323,0.5896095745919043,0.6779163381988891,0.5754325937545091,0.628365164899338,0.6172006356960151,0.6404469730212674,0.6074635274490418,0.6076406340893598
8,32,2,3,0.4,0.0005,32,0.5793345214235895,0.02682431803368999,0.5889416739954586,0.5486265617548025,0.5717936540556233,0.6326806236603106,0.5380333992135193,0.5697592557173723,0.5683700858283113,0.5714021261890381,0.6132988074718163,0.5904390263496435
8,32,4,1,0.1,0.001,32,0.5934802252146802,0.03511157027942313,0.6394660327605337,0.5605725959836565,0.5961338179153308,0.6615636129814543,0.5365871151157638,0.5644954459186186,0.5773589079535147,0.6043063983473688,0.5952733722019788,0.5990449529685821
8,32,4,1,0.1,0.0005,32,0.5793170970032666,0.023849762387491463,0.5945840350542849,0.5543173589738227,0.5517058633834298,0.6236108242207321,0.5576373078754139,0.5517106026585339,0.5745545558413567,0.5948855354510553,0.6025473183707187,0.5876175682033189
8,32,4,1,0.2,0.001,32,0.5804306864901854,0.02343675301752862,0.5888989792406908,0.5519512568736634,0.5753461544973808,0.6345516520917241,0.5532015786773106,0.5553242040133616,0.5866167786329636,0.5786960113466831,0.5955270208549082,0.5841932286731681
8,32,4,1,0.2,0.0005,32,0.5689868374085,0.025090145816778257,0.5837070853912343,0.5474972499000748,0.5591681350567187,0.6047727853081554,0.5250209476831451,0.535619230437697,0.5729797894451004,0.5802636806814991,0.5985246532144602,0.5823148169669143
8,32,4,1,0.3,0.001,32,0.5735781774893186,0.026253979442508152,0.5830432043350928,0.5600831552599257,0.5519546454935743,0.619234073948529,0.5207935492796769,0.5582022579267011,0.5745877502170222,0.5952974246085039,0.5974791662734852,0.575106547550674
8,32,4,1,0.3,0.0005,32,0.5719170253500561,0.02521706126204288,0.5714736075080626,0.5473301407069577,0.5713590960143602,0.618620001672827,0.5270731629575031,0.5514786119000954,0.5753154618088265,0.567530675341337,0.6013436057849935,0.5876458898055972
8,32,4,1,0.4,0.001,32,0.5712770691634924,0.026732131632873413,0.6022820109512373,0.5659359659498546,0.5494995609535809,0.6169003681481233,0.520823526246288,0.5610600464786702,0.5820418262603687,0.5478658310066887,0.5844416051493053,0.5819199504908066
8,32,4,1,0.4,0.0005,32,0.5710530541679273,0.022002910927141735,0.5739776668144249,0.5679315340100674,0.5420924023578041,0.6061438781955437,0.5370221045685181,0.5525427997983687,0.5852496373897408,0.5622038939107231,0.5994646232204828,0.5839020014135984
8,32,4,2,0.1,0.001,32,0.6202332663524089,0.028443804953039362,0.6449685267537658,0.5880414234485194,0.5851901209145262,0.6584470626446064,0.5831516392757756,0.5998901830256334,0.6184571021002288,0.6311605612262647,0.6313252553343773,0.6617007888003922
8,32,4,2,0.1,0.0005,32,0.6108210533948298,0.04392084398983796,0.6299747456409778,0.5720838726133283,0.5594123805606226,0.6524490679216663,0.579802435027076,0.5518735063790577,0.6072086796077372,0.6101477731825315,0.6944957342695945,0.6507623387457073
8,32,4,2,0.2,0.001,32,0.6022270621288547,0.029754226297486135,0.5949834890881477,0.5549280425108839,0.5985510024062374,0.6354129693443664,0.5826600822113585,0.5996377305939183,0.6104017239652182,0.5747027612046192,0.6672845585130112,0.6037082614507853
8,32,4,2,0.2,0.0005,32,0.5842383971425831,0.02545937831203792,0.5884984954581624,0.550211323139786,0.5696695392722624,0.6458049445211539,0.576048168712105,0.5816009745437499,0.5710193939212905,0.5635038063452955,0.5869479310834965,0.6090793944285279
8,32,4,2,0.3,0.001,32,0.5995246962915388,0.020721237185281634,0.6002318044154965,0.6305660509400898,0.5976317006244994,0.6345278654574302,0.5589331220813663,0.5893635745024124,0.6061716216349462,0.588542120873231,0.5863518023177197,0.6029273000681958
8,32,4,2,0.3,0.0005,32,0.5830754798131161,0.032236940523914064,0.5747431532332772,0.5448844558444985,0.5505608567368915,0.6285545055716358,0.5374079912541467,0.5673062425520685,0.5832371904226075,0.62274359008025,0.6230936330356445,0.5982231794001415
8,32,4,2,0.4,0.001,32,0.6125450914087351,0.022961827575604124,0.6284221140613333,0.6288688137778762,0.6065543145028471,0.6539794857847935,0.5767017658908813,0.576907772740774,0.6110415870203958,0.6004854540901574,0.6298292436707786,0.612660362547514
8,32,4,2,0.4,0.0005,32,0.5807728734300934,0.02549528911600986,0.5759793811809947,0.5576181392310655,0.5697099665975013,0.6212255997681304,0.5363377895598349,0.570331118887628,0.5882112846388454,0.5741881125415975,0.624635799298858,0.589491542596479
8,32,4,3,0.1,0.001,32,0.6145354049840168,0.0280136211174829,0.6162756369650713,0.5666510714642834,0.5942039265270121,0.6556101219369131,0.5848340572516995,0.59064527692502,0.6341154349281599,0.618380722181316,0.6370145209177196,0.6476232807429736
8,32,4,3,0.1,0.0005,32,0.6150452785729839,0.039097066366039844,0.6538138055487683,0.5703643496229983,0.5770669626823642,0.6846549667592285,0.5847394746396015,0.5764198475675276,0.6131093108601737,0.6194265686803394,0.668852390912062,0.6020051084567755
8,32,4,3,0.2,0.001,32,0.6362724846605843,0.050992436199110654,0.632998121621316,0.5749947581287713,0.6108217105182291,0.6500296163171181,0.6755788335238981,0.5806131357686561,0.6137845732228101,0.6108699233385555,0.7600756853448543,0.6529584888216348
8,32,4,3,0.2,0.0005,32,0.6013357224534892,0.022705636566887975,0.5953635405988721,0.5525301759746688,0.6070623198273586,0.6395659317267917,0.6026884538775081,0.5766647725948814,0.6198109170912127,0.5950499341763251,0.6146815776127821,0.6099396010544914
8,32,4,3,0.3,0.001,32,0.6109915925806378,0.024018153706860976,0.6651203311674776,0.594024936227422,0.6087619684026604,0.6407972151075887,0.5979463551955962,0.6056278238432449,0.6002502836243451,0.576346347659652,0.6020787143132142,0.6189619502651761
8,32,4,3,0.3,0.0005,32,0.5876568344222348,0.024459953512221456,0.5858634832396842,0.5618863460743985,0.5894170768951115,0.6338075503794073,0.5610872079841575,0.5493533531999031,0.5864026316599539,0.6055943067397987,0.5893606681659905,0.6137957198839439
