seed,model,threshold,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,auc_pr_val,precision_val_c0,recall_val_c0,f1_score_val_c0,precision_val_c1,recall_val_c1,f1_score_val_c1
0,Logistic Regression,0.5,0.634976072720359,0.9194630872483222,0.7587853323147441,0.8314324578842733,0.49861055974593094,0.7830423940149626,0.6092650982294445,0.7230130380341726,0.9159302603295916,0.7647058823529411,0.8335144533797001,0.555220505088579,0.8071232876712329,0.6578829834747655
0,Random Forest,0.5,0.6922137176451258,0.8548835592631213,0.9394576012223071,0.8951774340309372,0.7081031307550645,0.47942643391521195,0.5717472118959108,0.7618354281247142,0.8455646597791237,0.9465603190428714,0.8932166713707781,0.7814029363784666,0.5249315068493151,0.6279908226810882
0,MLP,0.5,0.670932419409327,0.8849144634525661,0.8693659281894576,0.8770712909441233,0.5966981132075472,0.6309226932668329,0.6133333333333333,0.7212992440748305,0.8783703995276521,0.8899302093718844,0.8841125198098256,0.6861853325753269,0.6613698630136986,0.6735491071428571
0,Gradient Boosting,0.5,0.67128042386806,0.9393494741990707,0.7335752482811306,0.8238069705093833,0.49291166848418755,0.8453865336658354,0.6227324913892078,0.7596747989210981,0.9328891004283675,0.7816550348953141,0.8506021482044049,0.5849128127369219,0.8454794520547945,0.6914631413847188
1,Logistic Regression,0.5,0.6513149857995449,0.8999524714828897,0.7539319131992833,0.8204961542628101,0.5303951367781155,0.7682993946064942,0.627556754326815,0.7383178971140179,0.9047400961758645,0.8132976533552903,0.8565853658536585,0.6332389809947432,0.7901109989909183,0.703030303030303
1,Random Forest,0.5,0.6955587098332666,0.8392759188151399,0.9137965359347003,0.8749523446435379,0.6841721371261853,0.5162355531095212,0.588456712672522,0.7684691936469393,0.836647463296785,0.9267188143268835,0.8793827522218967,0.7559972583961617,0.5565085771947528,0.6410927056088347
1,MLP,0.5,0.6638981014092612,0.850499615680246,0.8811467250647024,0.8655519702747628,0.6350855745721271,0.5718216840946615,0.6017955401100492,0.7411687474848204,0.8332079729221512,0.9121037463976945,0.870872641509434,0.7194480946123522,0.5524722502522704,0.625
1,Gradient Boosting,0.5,0.6897052142956395,0.9435326842837274,0.6752936492136173,0.7871896031561847,0.49738058551617875,0.8882773802971932,0.637692611615962,0.75370664935536,0.9493736951983298,0.7488678468505557,0.8372842347525892,0.5944148936170213,0.9021190716448032,0.7166332665330661
2,Logistic Regression,0.5,0.6344152418622713,0.9146648364218715,0.7659003831417625,0.833698258784277,0.5050627784528149,0.769753086419753,0.6099290780141844,0.7212326318089836,0.9224555735056543,0.7949482895783612,0.8539685930990278,0.5887514958117271,0.8145695364238411,0.6834915489696689
2,Random Forest,0.5,0.6885226121262742,0.8708806050783361,0.9264367816091954,0.8978000556947925,0.7016317016317016,0.5574074074074075,0.6212590299277606,0.78230393046329,0.8663945073297458,0.9285998408910103,0.8964193145819334,0.7525844245348036,0.6026490066225165,0.6693227091633466
2,MLP,0.5,0.6790095966781811,0.8768914627311788,0.8992337164750958,0.8879220656388915,0.6462676529926026,0.5932098765432099,0.6186031541680077,0.7533616752892394,0.86384096024006,0.9160700079554495,0.8891891891891892,0.7201591511936339,0.5993377483443708,0.6542168674698795
2,Gradient Boosting,0.5,0.6814135881968162,0.9446107784431138,0.725287356321839,0.8205461638491548,0.4936440677966102,0.8629629629629629,0.628032345013477,0.7696528310735762,0.9457917261055635,0.7911694510739857,0.8615984405458089,0.6013667425968109,0.8741721854304636,0.7125506072874493
