seed,model,threshold,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,auc_pr_val,precision_val_c0,recall_val_c0,f1_score_val_c0,precision_val_c1,recall_val_c1,f1_score_val_c1
0,Logistic Regression,0.603605951784102,0.636094681962441,0.906312292358804,0.858401510383889,0.881706528765352,0.567307692307692,0.676605504587156,0.617154811715481,0.719334400553534,0.905012267788293,0.854542445805064,0.879053536471189,0.632832080200501,0.736509479824988,0.680745899797798
0,Random Forest,0.33,0.69164443837365,0.919041233657392,0.862649465072373,0.889952929719202,0.590909090909091,0.723050458715596,0.650335224342445,0.766127666795696,0.918470670391062,0.870594075790171,0.893891767904171,0.670320404721754,0.772970345162859,0.717995032738767
0,MLP,0.314136787918388,0.706700891204715,0.929543076386467,0.838577721837634,0.881720430107527,0.566356720202874,0.768348623853211,0.652068126520681,0.774801204090229,0.914094650205761,0.882177726294887,0.897852631578947,0.686067019400353,0.756441419543024,0.719537572254335
0,Gradient Boosting,0.610010674580458,0.667017496365947,0.930991662231684,0.825676526117055,0.875177186692237,0.550142103126269,0.776949541284404,0.644164487758498,0.755566479110732,0.91644396935685,0.851232831375145,0.882635552505148,0.638520305589063,0.771998055420515,0.698943661971831
1,Logistic Regression,0.455779881722355,0.665889016943603,0.924656169025314,0.760616494507296,0.834652752788773,0.526435290301654,0.811094452773613,0.638473642800944,0.741178527561138,0.938656476267096,0.794653499063511,0.860673121254034,0.614450127877238,0.863044454422991,0.717833800186741
1,Random Forest,0.33,0.706807695020326,0.926156751652502,0.804066240367273,0.860803931893979,0.57397504456328,0.804597701149425,0.669995838535164,0.761763904547648,0.938075641779345,0.815085986718883,0.872266763848397,0.637637637637638,0.858105074090705,0.731623277182236
1,MLP,0.232464484041841,0.725765975480211,0.931147540983607,0.791605181177242,0.855724920241049,0.563979416809606,0.821589205397301,0.668836452400326,0.783445247583062,0.941454760496748,0.813213008683807,0.872647542481272,0.637594978526594,0.866636731028289,0.734678340312143
1,Gradient Boosting,0.54053766812521,0.689943689413019,0.947437011294527,0.715199212985735,0.815098570494254,0.503146453089245,0.879060469765117,0.63998544660724,0.753558879529463,0.947705663497313,0.780691299165673,0.856129212958641,0.605150214592275,0.886394252357432,0.719256695208599
2,Logistic Regression,0.547876372541274,0.632955688317001,0.909169251982075,0.835709759188847,0.870893181442959,0.548738033072237,0.705257270693512,0.617229564366128,0.712441873966923,0.913689936536718,0.834686102368726,0.872403047091413,0.613926499032882,0.769268056228793,0.682874354561102
2,Random Forest,0.34,0.690186911948297,0.926022176022176,0.846799746514576,0.884640847401523,0.584621993127148,0.761185682326622,0.661321671525753,0.778726400532427,0.93400467541809,0.860361106509856,0.895671667528884,0.667979519495865,0.822103732428502,0.737070838765754
2,MLP,0.245555082507996,0.70273566756173,0.94623856636177,0.803073510773131,0.868797669037621,0.5468465184105,0.838926174496644,0.662105495475613,0.767401283156868,0.951865455248405,0.815636905747888,0.87850133809099,0.619747181414418,0.879301987396995,0.727054108216433
