seed,best_threshold_used,val_loss,val_auc_roc,val_auc_pr,test_accuracy,test_auc_roc,test_auc_pr,test_prec_clase_0,test_rec_clase_0,test_f1_clase_0,test_prec_clase_1,test_rec_clase_1,test_f1_clase_1
0.0,0.5,0.4894144606524349,0.8716998593261313,0.7227024704665719,0.7691520467836257,0.8501192587667576,0.6401703868828024,0.9198622273249139,0.7650878533231474,0.835366489417162,0.5050301810865191,0.7824189526184538,0.6138420151626315
1.0,0.5,0.4913232459600482,0.8929880036009554,0.738876134804837,0.748391812865497,0.8528827930868583,0.6617879624453451,0.912543728135932,0.7270555444953215,0.8093074792243767,0.5169133192389006,0.8073747936158503,0.6302900107411386
2.0,0.5,0.49035063454017563,0.8753324649073358,0.7178391790827557,0.768859649122807,0.8519657300979141,0.6378672652122829,0.9189500345383376,0.76455938697318,0.8346753110948447,0.5078093712454946,0.782716049382716,0.6159825115375274
3.0,0.5,0.5243262489151848,0.8676952182653349,0.720143610088491,0.7501461988304093,0.8419359856912398,0.6349192360503645,0.9056965055050263,0.7421062953520298,0.8157809636736014,0.5060105184072127,0.7736932797242964,0.6118555530320237
4.0,0.5,0.48760882071918454,0.8659166808082814,0.6859161638254176,0.7890350877192982,0.8562793972582333,0.6375565223461248,0.9259666080843585,0.7921443337718473,0.8538438164691583,0.5166083916083916,0.7781435154707044,0.6209613869188337
5.0,0.5,0.48762962595500436,0.8861709167602689,0.741901270882898,0.7799707602339181,0.8688786491177072,0.6729757807567235,0.9236304549675023,0.7718719689621727,0.8409595265771954,0.5355450236966824,0.8047477744807122,0.6431112165046241
6.0,0.5,0.5127597213251174,0.8809524434091609,0.7016789512874653,0.7675438596491229,0.8552866768301685,0.6270031842440146,0.9285035629453682,0.7520200076952674,0.8309948979591837,0.5098859315589354,0.8166869671132765,0.6278089887640449
7.0,0.5,0.4833483952237314,0.877310381833382,0.7161487896539347,0.7796783625730994,0.8675374969748603,0.6489186764161425,0.9294915254237288,0.7748681235870384,0.8451659303400801,0.505175983436853,0.7963446475195822,0.6181910311629085
8.0,0.5,0.49983104432542685,0.8776930155944541,0.7308034902115395,0.7685672514619883,0.8581788898001131,0.6711029517632497,0.913772738010867,0.7605190719622493,0.8301319884107737,0.5327963176064442,0.7919042189281642,0.6370098601238248
9.0,0.5,0.5044137898682378,0.87451278659612,0.711459364059506,0.7789473684210526,0.8642022821374374,0.6568759333700478,0.9280128794848206,0.7709209017959495,0.8422041327489042,0.5188603531300161,0.8051058530510585,0.6310395314787701
,AVERAGE,0.49710059874845464,0.8770271771101426,0.7187469424363416,0.7700292397660818,0.8567267159761289,0.6489177899487097,0.9206430264420854,0.7621153487918203,0.8338430535915281,0.515463539101545,0.7939136051904814,0.6250092105426327
