seq_length,d_model,n_heads,n_layers,dropout,lr,batch_size,fusion_hidden,mean_val_loss,std_val_loss,val_loss_seed_0,val_loss_seed_1,val_loss_seed_2,val_loss_seed_3,val_loss_seed_4,val_loss_seed_5,val_loss_seed_6,val_loss_seed_7,val_loss_seed_8,val_loss_seed_9
8,32,2,1,0.1,0.0005,32,16,0.586521380518111,0.025746991141207223,0.5950226002792168,0.5764416852541138,0.5704555553825278,0.6342188686709742,0.5381698791090159,0.5594935381795928,0.6054543636521401,0.5897677372944983,0.6085060142372783,0.5876835631217524
8,32,2,1,0.1,0.0005,32,32,0.5799610661406464,0.025290456703109112,0.5872841825784996,0.5636102595284843,0.5675354678118438,0.6220761574532466,0.528629011751768,0.5585598737872832,0.5806235554317634,0.5974488051662669,0.6062072406125347,0.5876361072847718
8,32,2,1,0.1,0.001,32,16,0.588997372886362,0.027847883273025432,0.6034828636555644,0.5747642987336942,0.59606879160941,0.6397017135415553,0.5319978406119068,0.5603663806678258,0.5794399836236797,0.6041620655889399,0.606696315728433,0.5932934751026114
8,32,2,1,0.1,0.001,32,32,0.582341264769277,0.02759102116794433,0.5973666636567366,0.5758474490861272,0.5702684507819644,0.6234486259065285,0.5256378486572781,0.554424442255009,0.5812525974423216,0.5762078890239286,0.6106549434320271,0.6083037374508485
8,32,2,1,0.2,0.0005,32,16,0.5941891439500869,0.022939710925053595,0.6140184298941963,0.5740864270655384,0.5910011123321209,0.6364959833174072,0.5504621172269359,0.5723619543843799,0.6026241519297773,0.5953295344628438,0.6081058664367213,0.5974058624509483
8,32,2,1,0.2,0.0005,32,32,0.5879929427973578,0.02712890741839856,0.5964777785957905,0.5753413645757569,0.5694188712633144,0.6464867779070087,0.5393833807054145,0.5654099402371903,0.5883421090916234,0.5945093411625477,0.5979501863582093,0.6066096780767217
8,32,2,1,0.2,0.001,32,16,0.5917845065391769,0.02453663988799059,0.6048924487236648,0.5945015108245507,0.576318300763766,0.6374052395815389,0.5434660553964868,0.5724687366196287,0.5958235768002202,0.5791608981047457,0.6163952884269737,0.5974130101501942
8,32,2,1,0.2,0.001,32,32,0.5893447936435192,0.02645922892956764,0.6112809689334261,0.5690300516740621,0.5716221931995007,0.6482859977668053,0.5504555510465949,0.563966582358232,0.5953464955004335,0.5888868737551901,0.5974675464351275,0.5971056757658197
8,32,2,1,0.3,0.0005,32,16,0.6053070381688966,0.020773908863585922,0.6185998875146721,0.593193668806762,0.5939548129226729,0.6402464121318701,0.565489493615446,0.5823604256437536,0.6171911536819406,0.6047265128521194,0.6146135739241427,0.6226944405955878
8,32,2,1,0.3,0.0005,32,32,0.5931988466088797,0.023702229200509822,0.6129095387650512,0.5816307187167524,0.5862872682468235,0.63962679309716,0.5495264980680588,0.5709541636426546,0.5994876783014389,0.5808190200325342,0.6046838484050935,0.606062938813229
