seed,best_threshold,log_loss,auc_roc,accuracy,precision,recall,f1_score
0,0.0899059824025421,0.50164575921653,0.929979622251285,0.839860748476937,0.770992366412214,0.936920222634508,0.845896147403685
1,0.0377501427360285,0.464031851332374,0.946941702727671,0.862847222222222,0.782407407407407,0.967557251908397,0.86518771331058
2,0.0398686889521024,0.509961618697383,0.934710471047105,0.839965397923876,0.757404795486601,0.976363636363636,0.853057982525814
3,0.0365590169715898,0.492340739865955,0.95072634822988,0.873166522864538,0.803234501347709,0.998324958123953,0.890216579536968
4,0.0962931570354637,0.544422678037992,0.940380486193486,0.855536332179931,0.802884615384615,0.919266055045872,0.857142857142857
5,0.102557276821873,0.504255490466506,0.936847965531431,0.854782608695652,0.800302571860817,0.937943262411348,0.863673469387755
6,0.0548836136857272,0.581423683040347,0.917875549778577,0.842881944444444,0.766862170087977,0.959633027522936,0.852485737571312
7,0.115655583613242,0.506694243927315,0.923013526829705,0.839516824849008,0.789473684210526,0.901639344262295,0.841836734693878
8,0.0399162401362293,0.513895599923677,0.927169075510174,0.842783505154639,0.752923976608187,0.973534971644612,0.849134377576257
9,0.039822908999695,0.560733011375598,0.926900393184797,0.840654608096469,0.757142857142857,0.972477064220184,0.85140562248996
,,,0.933454514128411,0.849199571490772,0.778362894594891,0.954365979413774,0.857003722163907
