seed,default_threshold,log_loss,auc_roc,auc_pr,accuracy,precision_c0,recall_c0,f1_score_c0,precision_c1,recall_c1,f1_score_c1
0,0.5,1.14044306266656,0.841495754932131,0.562136365998196,0.785061728395062,0.785334487448992,0.999213341724355,0.87945717648688,0.615384615384615,0.00458715596330275,0.00910643141718839
1,0.5,1.21122565402835,0.83199554510333,0.567182169279151,0.754197530864198,0.754019292604502,0.999672077389736,0.859640465280226,0.857142857142857,0.00599700149925038,0.0119106699751861
2,0.5,1.12526463566798,0.853161426124877,0.584295606382931,0.780493827160494,0.780291790306627,0.999841571609633,0.876527777777778,0.916666666666667,0.00615212527964206,0.0122222222222222
3,0.5,1.21793452795446,0.823384081642275,0.544692436485507,0.763703703703704,0.764124119174187,0.999030224664619,0.865928831605492,0.454545454545455,0.00261369576581286,0.0051975051975052
4,0.5,1.09912982280308,0.85669266919244,0.592316424081713,0.799382716049383,0.798958849776896,0.999534811598698,0.888062271819246,0.90625,0.017565112053301,0.0344622697563874
5,0.5,1.2311745483779,0.830601243723871,0.549962140443127,0.769135802469136,0.77387251196775,0.987938243808299,0.867900536874823,0.537037037037037,0.0462274176408077,0.0851272015655577
6,0.5,1.15025080457384,0.842471492972686,0.556717616231906,0.777037037037037,0.777200148533234,0.999045346062053,0.874269005847953,0.714285714285714,0.00826446280991736,0.0163398692810458
7,0.5,1.11568008709453,0.825476300117129,0.486858170416134,0.791481481481482,0.799318009598383,0.98444548141235,0.882275040078065,0.450549450549451,0.0490724117295033,0.0885051268213708
8,0.5,1.22622685595794,0.84168152016639,0.575243252929755,0.765061728395062,0.765091538842157,0.999353692034254,0.866671337490366,0.75,0.00627943485086342,0.0124545926310327
9,0.5,1.1650209474313,0.836966775235158,0.551716749841171,0.784074074074074,0.784653465346535,0.998582453929753,0.878785778640238,0.55,0.00628212450028555,0.0124223602484472
,average,1.16823509465559,0.838392680921029,0.557112093208959,0.776962962962963,0.778286421359926,0.996665724423375,0.873951822190107,0.67518617956118,0.0153040942092686,0.0287748249115943
