seed,best_threshold_used,val_loss,val_auc_roc,val_auc_pr,test_accuracy,test_auc_roc,test_auc_pr,test_prec_clase_0,test_rec_clase_0,test_f1_clase_0,test_prec_clase_1,test_rec_clase_1,test_f1_clase_1
0.0,0.6222028811862313,0.4894144606524349,0.8716998593261313,0.7227024704665719,0.810233918128655,0.8501192587667576,0.6401703868828024,0.891607000795545,0.8561879297173415,0.8735385814497272,0.5844370860927153,0.6602244389027432,0.620023419203747
1.0,0.4804187404159738,0.4913232459600482,0.8929880036009554,0.738876134804837,0.7425438596491228,0.8528827930868583,0.6617879624453451,0.9190647482014388,0.7121242285486761,0.8024677509814919,0.5094979647218453,0.8266373142542652,0.6304302203567681
2.0,0.555474742686682,0.49035063454017563,0.8753324649073358,0.7178391790827557,0.7883040935672515,0.8519657300979141,0.6378672652122829,0.9023037542662116,0.8103448275862069,0.8538554703270085,0.5399628252788105,0.717283950617284,0.616118769883351
3.0,0.5188055263139262,0.5243262489151848,0.8676952182653349,0.720143610088491,0.7573099415204678,0.8419359856912398,0.6349192360503645,0.9005357558816678,0.758187879976466,0.8232538330494037,0.5159010600706714,0.7547386559448592,0.6128731343283582
4.0,0.6272197005696178,0.48760882071918454,0.8659166808082814,0.6859161638254176,0.8302631578947368,0.8562793972582333,0.6375565223461248,0.8951367781155015,0.8855478293553843,0.8903164855928201,0.6135786802030457,0.6366030283080975,0.6248788368336026
5.0,0.5827335146160123,0.48762962595500436,0.8861709167602689,0.741901270882898,0.8065789473684211,0.8688786491177072,0.6729757807567235,0.9011725293132329,0.834917555771096,0.8667807874332897,0.5876937984496124,0.7198813056379822,0.6471058949053081
6.0,0.581450815780222,0.5127597213251174,0.8809524434091609,0.7016789512874653,0.7907894736842105,0.8552866768301685,0.6270031842440146,0.906540038851716,0.8080030781069643,0.8544400366188587,0.5478024467603081,0.7362971985383678,0.6282151208106002
7.0,0.631869927734069,0.4833483952237314,0.877310381833382,0.7161487896539347,0.8264619883040936,0.8675374969748603,0.6489186764161425,0.9018919446069826,0.8711379050489827,0.8862482031624341,0.6007005253940455,0.6716710182767625,0.6342064714946071
8.0,0.5433167787581433,0.49983104432542685,0.8776930155944541,0.7308034902115395,0.7814327485380117,0.8581788898001131,0.6711029517632497,0.9006918098638697,0.7935509241053873,0.8437336678164524,0.5548961424332344,0.7462941847206386,0.6365183564308291
9.0,0.6112159747869534,0.5044137898682378,0.87451278659612,0.711459364059506,0.814766081871345,0.8642022821374374,0.6568759333700478,0.9058727235522815,0.8458158196408101,0.8748147416263216,0.5867895545314901,0.7135740971357409,0.644001123911211
,AVERAGE,0.49710059874845464,0.8770271771101426,0.7187469424363416,0.7948684210526316,0.8567267159761289,0.6489177899487097,0.9024817083448446,0.8175817977857316,0.8569449558057807,0.5641260083935778,0.718320519233674,0.6294371348158383
