seed,model,threshold,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,auc_pr_val,precision_val_c0,recall_val_c0,f1_score_val_c0,precision_val_c1,recall_val_c1,f1_score_val_c1
0,Logistic Regression,0.636946897141512,0.634976072720359,0.886829652996846,0.859052711993888,0.872720217306946,0.582579185520362,0.64214463840399,0.610913404507711,0.723013038034173,0.890304026294166,0.864207377866401,0.877061620965294,0.654665314401623,0.707397260273973,0.680010534632605
0,Random Forest,0.29,0.692213717645126,0.922350922350922,0.821237585943468,0.868862396443726,0.570247933884298,0.77431421446384,0.656795346377578,0.761835428124714,0.927136233164054,0.83728813559322,0.879924559932942,0.646906101254868,0.819178082191781,0.722920696324952
0,MLP,0.250333547592163,0.670932419409327,0.923672818409661,0.774255156608098,0.84238961038961,0.517747858017136,0.791147132169576,0.625893958076449,0.721299244074831,0.919748935216319,0.81814556331007,0.865977205571971,0.616645649432535,0.803835616438356,0.69790675547098
0,Gradient Boosting,0.572403385597224,0.67128042386806,0.926041434617955,0.79392666157372,0.854910025706941,0.541046363249681,0.793017456359102,0.643236409608091,0.759674798921098,0.916151809355693,0.827916251246261,0.869802032051954,0.626083188908146,0.791780821917808,0.699249939511251
1,Logistic Regression,0.459039605865138,0.651314985799545,0.914802714249812,0.724666533943858,0.808709175738725,0.516602586508214,0.813428728673638,0.631893971782813,0.738317897114018,0.923839458413927,0.786537669822973,0.849677562819658,0.616494082840237,0.841069626639758,0.711481007255655
1,Random Forest,0.34,0.695558709833267,0.916744621141254,0.780410113478001,0.843101408753629,0.569812792511701,0.804072647220694,0.666971011184661,0.768469193646939,0.926239135541461,0.811650885137917,0.865167306637411,0.645760743321719,0.841574167507568,0.730777656078861
1,MLP,0.123873263597488,0.663898101409261,0.943030653556969,0.649213617360143,0.769013088079236,0.479006505026611,0.89157952669235,0.623196768609348,0.74116874748482,0.954438334642577,0.750308769040758,0.840152126310937,0.598477325388944,0.912209889001009,0.722766340195883
1,Gradient Boosting,0.545458474333838,0.68970521429564,0.93171114599686,0.708938881146725,0.80520067834935,0.51557322730285,0.856356631810677,0.64364012409514,0.75370664935536,0.93726754277213,0.778097982708934,0.850298054212125,0.615960099750624,0.872351160443996,0.722071413656296
2,Logistic Regression,0.543734491942792,0.634415241862271,0.902544200086244,0.801915708812261,0.849259484682491,0.530426884650318,0.720987654320988,0.61119832548404,0.721232631808984,0.910503282275711,0.827565632458234,0.867055636590956,0.618061674008811,0.774282560706402,0.687408133268006
2,Random Forest,0.37,0.688522612126274,0.914238479024592,0.847509578544061,0.879610299234516,0.602198900549725,0.743827160493827,0.665561999447666,0.78230393046329,0.923044035912783,0.8587907716786,0.889758912013188,0.671600370027752,0.801324503311258,0.730749874182184
2,MLP,0.185301974415779,0.679009596678181,0.93876589731512,0.76360153256705,0.842171983942531,0.524286815728605,0.839506172839506,0.64546748932131,0.753361675289239,0.935817805383023,0.809069212410501,0.86784,0.614921780986763,0.846026490066225,0.71219512195122
2,Gradient Boosting,0.634954475691412,0.681413588196816,0.916056823073612,0.815325670498084,0.862760997364687,0.560619872379216,0.759259259259259,0.644992134242265,0.769652831073576,0.910754678182192,0.880867143993636,0.895561621676271,0.697015680323723,0.760485651214128,0.727368698865136
3,Logistic Regression,0.481052298801973,0.632634207366195,0.904028436018957,0.748185918807609,0.818757377401009,0.509923664122137,0.767375071797817,0.61270350836964,0.720837815313883,0.912518124697922,0.777274598600247,0.839484215206759,0.599555884529978,0.817356205852674,0.691716481639624
3,Random Forest,0.29,0.693431453156496,0.9189125849543,0.768974308687978,0.837283792440743,0.542168674698795,0.801263641585296,0.64673157162726,0.759240006130039,0.927678352537387,0.778921366817621,0.846816605124762,0.611010503440782,0.851160443995964,0.711364115538689
3,MLP,0.145625561475754,0.641526915104614,0.925617685305592,0.697979996077662,0.795840787119857,0.485809682804674,0.835726593911545,0.614442567567568,0.715770051321014,0.924590163934426,0.754631535611363,0.831009860591636,0.585391304347826,0.849142280524723,0.69302038295244
3,Gradient Boosting,0.599020867341011,0.679582524269479,0.90666362391602,0.779172386742499,0.838097247125831,0.541903986981286,0.765077541642734,0.634436770659681,0.753456572429802,0.894047090182141,0.828530259365994,0.860042735042735,0.643712574850299,0.75933400605449,0.696759259259259
