seed,best_threshold,log_loss,auc_roc,accuracy,precision,recall,f1_score
0,0.0005804899815286026,1.4974170700225617,0.8835129031953508,0.7977326405290506,0.7219194671510748,0.9400749063670412,0.8166795102320404
1,0.0005784313092855972,1.3512656381201784,0.893913296729912,0.7982820464413819,0.7126164768525366,0.961292897047087,0.8184829695064979
2,0.001653507784713179,1.3481209150756046,0.8810390453565171,0.8041509433962264,0.7294977749523204,0.9246575342465754,0.8155650319829424
3,0.0016631678051997713,1.3468835106202166,0.8986848413160348,0.8093708671830719,0.7392671803742726,0.9288678126852401,0.8232924693520141
4,0.0016532555027788571,1.2176351471860516,0.9049140683373597,0.8156899810964083,0.7362553451435553,0.9557890563045203,0.8317805383022774
5,0.0016230777768259936,1.4056053744569241,0.8943080719527242,0.8094430308170766,0.7422391017173051,0.9069814366424536,0.816382128586996
6,0.0016211132597818052,1.5840732485634708,0.8860156285985159,0.8062470421202083,0.7512291052114061,0.8965382358693527,0.8174765938475257
7,0.0002040419748413386,1.5157052967375784,0.887686335214023,0.7810343197504018,0.6908850726552179,0.9572910311165345,0.8025575447570332
8,0.0015092826199235904,1.4768841590726216,0.8999355265896717,0.8156477369365964,0.7453069507864029,0.908285243198681,0.8187645146307478
9,0.0016029930133757335,1.6234350280756722,0.8668217347891041,0.7922335600907029,0.7384160368057837,0.881003724759851,0.803432555644945
