seed,default_threshold,log_loss,auc_roc,accuracy,precision,recall,f1_score
0,0.5,0.49819830439341933,0.942204579520113,0.7449956483899043,0.9377289377289377,0.48120300751879697,0.6360248447204969
1,0.5,0.5639906414930578,0.9361385166271322,0.796875,0.9264305177111717,0.6215722120658135,0.7439824945295405
2,0.5,0.5035823538617067,0.9512285467341648,0.7551903114186851,0.9528985507246377,0.49343339587242024,0.6501854140914709
3,0.5,0.4848149638009273,0.9392112309830093,0.7989646246764452,0.9339622641509434,0.6589018302828619,0.7726829268292683
4,0.5,0.5179545294612125,0.9449245263142053,0.7326989619377162,0.9708333333333333,0.4355140186915888,0.6012903225806452
5,0.5,0.5405147931491966,0.9401589952083635,0.7382608695652174,0.9435215946843853,0.5,0.6536248561565017
6,0.5,0.5443744249483975,0.9475132185456119,0.7005208333333334,0.9490740740740741,0.3803339517625232,0.543046357615894
7,0.5,0.4931741218844924,0.9369816836704254,0.7515099223468508,0.9377049180327869,0.5153153153153153,0.6651162790697674
8,0.5,0.5609249040192389,0.9204788686653972,0.711340206185567,0.9081967213114754,0.4735042735042735,0.6224719101123596
9,0.5,0.5598921004438023,0.9347546571778849,0.7278208440999139,0.9495798319327731,0.42641509433962266,0.5885416666666666
