pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration
60877, 1.75487, 21, -1,-1,-1,41.7455,-9.73063,0.015849,8.68e+08,10,125000,1,0,-10.8394,19064.6,0,-140.504,-133,0.436224
60879, 1.76805, 18, -1,-1,-1,42.113,2.29487,0.025119,8.68e+08,10,125000,1,0,-9.14161,19614.9,0,-138.026,-133,0.436224
60882, 1.81787, 59, -1,-1,-1,70.5912,20.95,0.015849,8.68e+08,11,125000,1,0,37.8289,15779.4,1,-128.369,-135,0.790528
60914, 1.98465, 29, -1,-1,-1,53.2081,22.689,0.019953,8.68e+08,10,125000,1,0,2.56123,17975.2,0,-135.549,-133,0.436224
60916, 2.02007, 34, -1,-1,-1,48.8849,19.0429,0.015849,8.68e+08,10,125000,1,0,-2.00971,18539.2,0,-137.928,-133,0.436224
60928, 2.1031, 14, -1,-1,-1,54.5685,-4.84401,0.025119,8.68e+08,10,125000,1,0,0.436257,19334.7,0,-135.192,-133,0.436224
60930, 2.13191, 28, -1,-1,-1,54.8819,14.2147,0.015849,8.68e+08,10,125000,1,0,3.68817,19361.3,0,-136.212,-133,0.436224
60962, 2.41172, 4, -1,-1,-1,42.3372,14.2477,0.025119,8.68e+08,10,125000,1,0,-7.88375,18910.2,0,-137.665,-133,0.436224
60969, 2.43214, 9, -1,-1,-1,38.1127,24.9979,0.015849,8.68e+08,11,125000,1,0,-10.6193,16926.5,0,-140.439,-135,0.790528
60976, 2.52798, 50, -1,-1,-1,41.593,13.5846,0.015849,8.68e+08,11,125000,1,0,-8.52144,18948,0,-139.848,-135,0.790528
60983, 2.65472, 38, -1,-1,-1,46.367,15.8956,0.025119,8.68e+08,11,125000,1,0,-4.46287,18901.7,0,-136.662,-135,0.790528
60991, 2.67274, 48, -1,-1,-1,59.2553,11.0821,0.025119,8.68e+08,11,125000,1,0,8.6608,19559.4,1,-132.753,-135,0.790528
60998, 2.80226, 0, -1,-1,-1,50.1961,0.428051,0.025119,8.68e+08,10,125000,1,0,-2.73152,19774.9,0,-136.147,-133,0.436224
61005, 2.83219, 47, -1,-1,-1,59.4134,6.2856,0.015849,8.68e+08,12,125000,1,0,7.91356,19667.7,0,-134.968,-137,1.58106
61007, 2.83647, 16, -1,-1,-1,44.171,4.47102,0.025119,8.68e+08,12,125000,1,0,-7.32823,19669.9,0,-137.505,-137,1.58106
61014, 2.88662, 56, -1,-1,-1,37.0837,13.5746,0.015849,8.68e+08,11,125000,1,0,-11.8712,18686.3,0,-140.784,-135,0.790528
61026, 2.9584, 12, -1,-1,-1,53.1759,-1.27635,0.019953,8.68e+08,12,125000,1,0,-0.307806,19673.4,0,-136.417,-137,1.58106
61028, 2.96769, 2, -1,-1,-1,53.781,15.2527,0.019953,8.68e+08,12,125000,1,0,2.56485,19231.5,0,-135.549,-137,1.58106
61040, 2.99493, 25, -1,-1,-1,45.9662,9.99324,0.015849,8.68e+08,12,125000,1,0,-5.31474,19488.5,0,-138.915,-137,1.58106
61052, 3.04413, 44, -1,-1,-1,50.4019,30.1104,0.019953,8.68e+08,11,125000,1,0,-0.074351,16054.2,0,-136.344,-135,0.790528
61059, 3.08233, 6, -1,-1,-1,59.3407,15.307,0.025119,8.68e+08,12,125000,1,0,9.43841,19209.4,0,-132.531,-137,1.58106
61066, 3.09956, 42, -1,-1,-1,55.8747,23.4896,0.019953,8.68e+08,10,125000,1,0,5.78139,17803.7,0,-134.59,-133,0.436224
61073, 3.12875, 10, -1,-1,-1,30.6362,29.942,0.025119,8.68e+08,11,125000,1,0,-15.8088,15446.5,0,-139.821,-135,0.790528
61085, 3.19533, 15, -1,-1,-1,47.2604,4.93635,0.019953,8.68e+08,11,125000,1,0,-4.69943,19755.4,0,-137.734,-135,0.790528
61097, 3.2416, 30, -1,-1,-1,49.0324,21.7134,0.025119,8.68e+08,10,125000,1,0,-1.64955,18042.6,0,-135.819,-133,0.436224
61109, 3.38671, 43, -1,-1,-1,54.6157,27.8311,0.025119,8.68e+08,10,125000,1,0,4.47764,16694.2,0,-133.976,-133,0.436224
61111, 3.38989, 52, -1,-1,-1,39.4875,31.1853,0.019953,8.68e+08,10,125000,1,0,-9.44155,15502.1,0,-139.108,-133,0.436224
61118, 3.42744, 26, -1,-1,-1,46.018,6.38928,0.025119,8.68e+08,10,125000,1,0,-5.54896,19670,0,-136.985,-133,0.436224
61125, 3.51688, 46, -1,-1,-1,52.6833,27.388,0.025119,8.68e+08,12,125000,1,0,2.22296,16834.5,0,-134.651,-137,1.58106
61127, 3.52771, 55, -1,-1,-1,28.3898,-17.3212,0.019953,8.68e+08,10,125000,1,0,-20.5689,17870.1,0,-141.982,-133,0.436224
61129, 3.55747, 23, -1,-1,-1,52.9117,8.70651,0.015849,8.68e+08,12,125000,1,0,0.92897,19753.4,0,-137.042,-137,1.58106
61131, 3.55827, 8, -1,-1,-1,60.5475,13.4671,0.025119,8.68e+08,12,125000,1,0,10.9415,19331.5,0,-132.11,-137,1.58106
61133, 3.55993, 35, -1,-1,-1,43.16,26.5703,0.019953,8.68e+08,11,125000,1,0,-6.60964,16782.4,0,-138.294,-135,0.790528
61135, 3.62485, 57, -1,-1,-1,33.7972,33.9146,0.015849,8.68e+08,12,125000,1,0,-13.6353,14600.4,0,-141.257,-137,1.58106
61137, 3.64515, 17, -1,-1,-1,51.6863,3.24416,0.025119,8.68e+08,10,125000,1,0,-0.927399,19829,0,-135.603,-133,0.436224
61144, 3.77126, 54, -1,-1,-1,33.1423,-17.0618,0.019953,8.68e+08,12,125000,1,0,-17.5644,18083.5,0,-141.267,-137,1.58106
61146, 3.80821, 1, -1,-1,-1,48.4457,0.038571,0.025119,8.68e+08,10,125000,1,0,-4.24936,19742.6,0,-136.6,-133,0.436224
61148, 3.81355, 39, -1,-1,-1,43.5731,18.9542,0.019953,8.68e+08,11,125000,1,0,-6.55476,18307.1,0,-138.279,-135,0.790528
61175, 3.85161, 31, -1,-1,-1,53.9264,16.774,0.015849,8.68e+08,10,125000,1,0,3.00711,19006,0,-136.416,-133,0.436224
61182, 3.8766, 13, -1,-1,-1,56.0879,-6.06043,0.015849,8.68e+08,10,125000,1,0,1.81533,19078.1,0,-136.776,-133,0.436224
61184, 3.90268, 36, -1,-1,-1,41.0397,23.2131,0.019953,8.68e+08,11,125000,1,0,-8.38471,17411.8,0,-138.808,-135,0.790528
61186, 3.96597, 49, -1,-1,-1,44.3358,7.64449,0.015849,8.68e+08,12,125000,1,0,-6.82301,19554.3,0,-139.358,-137,1.58106
